Dmc;Value;Timestamp;Feature;Machine;LowerLimit;UpperLimit;MeasurementOccurence
Y2701913121A;0,27850765;2024-10-10 02:00:57.0000000;12402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,5;1
Y2701913121A;0,87279928;2024-10-10 02:00:57.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;1
Y2701913121A;0,79586023;2024-10-10 02:00:57.0000000;11403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,1;1
Y2701913121A;1,1958566;2024-10-10 02:00:57.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;1
Y2701913121A;0,23245621;2024-10-10 02:00:57.0000000;11402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,31999999;1
Y2711244271A;0,69119012;2024-10-10 03:26:00.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;1
Y2711244271A;0,18178043;2024-10-10 03:26:00.0000000;11402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,31999999;1
Y2711244271A;0,66265762;2024-10-10 03:26:00.0000000;11403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,1;1
Y2711244271A;0,26274192;2024-10-10 03:26:00.0000000;12402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,5;1
Y2701736591A;1,4081361;2024-10-09 20:44:08.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;2
Y2701736591A;0,38982803;2024-10-09 20:44:08.0000000;12402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,5;2
Y2701736591A;0,37553489;2024-10-09 20:44:08.0000000;11402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,31999999;2
Y2701736591A;0,9961735;2024-10-09 20:44:08.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;2
Y2701736591A;0,84543604;2024-10-09 20:44:08.0000000;11403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,1;2
Y2721645261A;0,28607693;2024-10-09 20:54:27.0000000;11402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,31999999;1
Y2721645261A;1,6279335;2024-10-09 20:54:27.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;1
Y2751806142A;0,2589334;2024-10-10 03:00:33.0000000;11402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,31999999;1
Y2751806142A;0,81936336;2024-10-10 03:00:33.0000000;11403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,1;1
Y2751806142A;0,75074631;2024-10-10 03:00:33.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;1
Y2751806142A;0,3043398;2024-10-10 03:00:33.0000000;12402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,5;1
Y2751806142A;1,5382679;2024-10-10 03:00:33.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;1
Y2721951571A;1,4096059;2024-10-09 21:36:46.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;1
Y2721951571A;0,87391794;2024-10-09 21:36:46.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;1
Y2721951571A;0,79611111;2024-10-09 21:36:46.0000000;11403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,1;1
Y2721951571A;0,30275989;2024-10-09 21:36:46.0000000;11402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,31999999;1
Y2721951571A;0,36849341;2024-10-09 21:36:46.0000000;12402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,5;1
Y2740710332A;1,5254669;2024-10-10 03:05:08.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;1
Y2740710332A;0,90676928;2024-10-10 03:05:08.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;1
Y2740710332A;0,20782569;2024-10-10 03:05:08.0000000;11402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,31999999;1
Y2740710332A;0,77421337;2024-10-10 03:05:08.0000000;11403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,1;1
Y2720730091A;1,4860033;2024-10-10 00:53:04.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;1
Y2740610252A;0,78028977;2024-10-10 05:18:09.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;1
Y2740610252A;0,73103952;2024-10-10 05:18:09.0000000;11403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,1;1
Y2740610252A;0,20509113;2024-10-10 05:18:09.0000000;11402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,31999999;1
Y2740610252A;0,28812936;2024-10-10 05:18:09.0000000;12402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,5;1
Y2722152141A;0,90174943;2024-10-09 21:30:45.0000000;11403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,1;1
Y2722152141A;0,91259271;2024-10-09 21:30:45.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;1
Y2722152141A;0,29201409;2024-10-09 21:30:45.0000000;12402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,5;1
Y2722152141A;2,6183271;2024-10-09 21:30:45.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;1
Y2722152141A;0,32282931;2024-10-09 21:30:45.0000000;11402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,31999999;1
Y2762120341A;0,20668547;2024-10-10 03:32:30.0000000;11402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,31999999;1
Y2762120341A;0,68729705;2024-10-10 03:32:30.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;1
Y2762120341A;0,6286062;2024-10-10 03:32:30.0000000;11403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,1;1
Y2762120341A;0,23109192;2024-10-10 03:32:30.0000000;12402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,5;1
Y2762120341A;1,8115302;2024-10-10 03:32:30.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;1
Y2721306381A;1,8028802;2024-10-09 21:30:55.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;1
Y2721306381A;1,2764523;2024-10-09 21:30:55.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;1
Y2722255021A;0,85380334;2024-10-09 21:37:16.0000000;11403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,1;1
Y2722255021A;1,3791735;2024-10-09 21:37:16.0000000;11202.Pk;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;3,5;1
Y2722255021A;1,0930797;2024-10-09 21:37:16.0000000;12403.BS3;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;1,3;1
Y2722255021A;0,25718972;2024-10-09 21:37:16.0000000;12402.BS2;MKM_WS004936.schaeffler.com_QsStatModule-Ebooster-ANOVIS-FUS;0;0,5;1
